complex_id,complex_nm,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,srv_notes,geometry
qn063,Middle Village-Metropolitan Av,M,1,36081,40.711396,-73.889601,1023174.0,1116504.0,1169385.0,1124754.0,1220377.0,1189616.0,1200171.0,1300110.0,1361246.0,1365048.0,875782,3389.0,3640.0,3763.0,3815.0,3983.0,4053.0,4092.0,4318.0,4489.0,4530.0,3064,2959.0,3435.0,3901.0,2783.0,3864.0,3268.0,2900.0,3733.0,4030.0,3868.0,1753,x,POINT (-73.88960099999998 40.71139599999987)
qn064,Northern Blvd,M R,1,36081,40.752885,-73.906006,2204059.0,2353366.0,2250701.0,2204923.0,2184353.0,2214223.0,2239136.0,2290836.0,2282296.0,2264100.0,2140551,7147.0,7584.0,7263.0,7066.0,7049.0,7201.0,7235.0,7431.0,7428.0,7413.0,7107,7066.0,7618.0,7335.0,7480.0,7255.0,7587.0,7285.0,7304.0,7178.0,6821.0,6133,,POINT (-73.90600599999999 40.75288499999986)
qn065,Ozone Park-Lefferts Blvd,A,1,36081,40.685951,-73.825798,2256299.0,2375496.0,2243456.0,2221497.0,2286542.0,2246624.0,2262961.0,2263109.0,2224331.0,2351557.0,2306419,7504.0,7773.0,7434.0,7326.0,7491.0,7460.0,7476.0,7641.0,7732.0,8023.0,7722,6326.0,7117.0,6370.0,6511.0,7036.0,6976.0,6568.0,5764.0,4545.0,5538.0,6307,,POINT (-73.82579800000001 40.68595099999988)
qn066,Parsons Blvd,F,1,36081,40.707564,-73.803326,1840179.0,1902715.0,1838982.0,1903041.0,1920497.0,1950852.0,2035948.0,2052252.0,2094007.0,2063042.0,1998650,5914.0,6122.0,5920.0,6013.0,6174.0,6329.0,6463.0,6540.0,6640.0,6644.0,6593,6154.0,6205.0,6075.0,6841.0,6476.0,6740.0,7174.0,7096.0,7420.0,6736.0,5905,,POINT (-73.80332599999998 40.70756399999987)
qn067,Queens Plaza,E M R,1,36081,40.748973,-73.937243,2431479.0,2531924.0,2421042.0,2408523.0,2550906.0,2747366.0,2855006.0,3005223.0,3101888.0,3124028.0,3374948,8086.0,8558.0,8277.0,8370.0,8869.0,9695.0,9696.0,10125.0,10475.0,10652.0,11369,6924.0,6439.0,5844.0,5246.0,5580.0,6051.0,7189.0,7987.0,8111.0,7574.0,9040,,POINT (-73.93724299999998 40.74897299999987)
qn068,Queensboro Plaza,N W 7,1,36081,40.750582,-73.940202,2704362.0,2772097.0,2792245.0,2813789.0,3047146.0,3350219.0,3569290.0,3785260.0,3773168.0,4105500.0,4566287,8496.0,8955.0,8682.0,8916.0,9577.0,10752.0,11132.0,11554.0,11786.0,12936.0,13502,9972.0,8964.0,10819.0,10074.0,11545.0,12254.0,13610.0,15734.0,14352.0,14891.0,20654,,POINT (-73.94020199999999 40.75058199999988)
qn069,Rockaway Blvd,A,1,36081,40.680429,-73.843853,2124742.0,2254731.0,2254869.0,2353592.0,2373967.0,2446937.0,2637100.0,2575171.0,1729268.0,2382252.0,2371645,7055.0,7422.0,7441.0,7715.0,7786.0,8045.0,8662.0,8474.0,5690.0,7683.0,7786,6055.0,6582.0,6601.0,7179.0,7289.0,7989.0,7903.0,7630.0,5142.0,7763.0,7211,x,POINT (-73.84385299999998 40.68042899999986)
qn070,Rockaway Park-Beach 116 St,A S,1,36081,40.580903,-73.835592,284184.0,293817.0,267902.0,268625.0,286902.0,251080.0,135956.0,231407.0,255542.0,250220.0,235691,850.0,843.0,796.0,778.0,845.0,741.0,379.0,677.0,747.0,727.0,683,1215.0,1386.0,1114.0,1085.0,1262.0,1143.0,703.0,1053.0,1137.0,1167.0,1091,x,POINT (-73.83559200000001 40.58090299999987)
qn071,Seneca Av,M,1,36081,40.702762,-73.90774,648147.0,662730.0,691907.0,670795.0,758144.0,716729.0,711011.0,755026.0,842069.0,854251.0,454373,2081.0,2117.0,2158.0,2235.0,2433.0,2461.0,2428.0,2545.0,2726.0,2832.0,1576,2149.0,2208.0,2595.0,1812.0,2580.0,1851.0,1653.0,1957.0,2712.0,2410.0,930,x,POINT (-73.90773999999999 40.70276199999989)
qn072,Steinway St,M R,1,36081,40.756879,-73.92074,4467959.0,4659675.0,4547327.0,4561738.0,4930914.0,4866245.0,4798179.0,4807448.0,4779346.0,4703321.0,4733777,13711.0,14214.0,13901.0,14028.0,15036.0,15061.0,14769.0,14870.0,14895.0,14836.0,14867,17996.0,18873.0,18519.0,18267.0,20633.0,20193.0,19118.0,18764.0,18200.0,16851.0,17555,,POINT (-73.92073999999998 40.75687899999989)
qn073,Sutphin Blvd,F,1,36081,40.70546,-73.810708,1357689.0,1399317.0,1375351.0,1465324.0,1470022.0,1468970.0,1550363.0,1468419.0,1506607.0,1414334.0,1338831,4337.0,4464.0,4404.0,4605.0,4693.0,4760.0,4932.0,4795.0,4851.0,4652.0,4496,4654.0,4725.0,4636.0,5366.0,5100.0,5086.0,5397.0,4502.0,4959.0,4134.0,3570,,POINT (-73.81070799999999 40.70545999999988)
qn074,Sutphin Blvd-Archer Av-JFK Airport,E J Z,1,36081,40.700486,-73.807969,6064612.0,6433286.0,6418547.0,6447287.0,6839255.0,6975316.0,7303038.0,7633725.0,7767728.0,7904869.0,7457153,19036.0,20138.0,20144.0,20706.0,21630.0,22285.0,23012.0,23747.0,24349.0,24796.0,23843,22168.0,23358.0,23367.0,21309.0,24498.0,25388.0,26184.0,28862.0,28383.0,28587.0,25234,,POINT (-73.80796899999999 40.70048599999987)
qn075,Vernon Blvd-Jackson Av,7,1,36081,40.742626,-73.953581,2414808.0,2967358.0,2939995.0,3110952.0,3170128.0,3357030.0,3726974.0,4169876.0,4462652.0,4877185.0,4821191,8019.0,9541.0,9607.0,10028.0,10450.0,11541.0,12610.0,14123.0,14819.0,15910.0,15781,6838.0,9657.0,8967.0,10371.0,9441.0,8612.0,9491.0,10347.0,12582.0,14981.0,14901,,POINT (-73.95358099999999 40.74262599999989)
qn076,Woodhaven Blvd,J Z,1,36081,40.693879,-73.851576,1180476.0,1269407.0,1285768.0,1285323.0,1357800.0,1328319.0,1398536.0,1505920.0,1551590.0,1513298.0,1512676,3907.0,4173.0,4176.0,4260.0,4433.0,4464.0,4576.0,4796.0,4940.0,4838.0,5104,3379.0,3689.0,4049.0,3667.0,4227.0,3835.0,4255.0,5226.0,5388.0,5099.0,3884,,POINT (-73.85157599999998 40.69387899999988)
qn077,Woodhaven Blvd,M R,1,36081,40.733106,-73.869229,7443133.0,7695845.0,7447147.0,7307038.0,7241776.0,7157320.0,7157254.0,7125205.0,7120037.0,7144921.0,6871409,22990.0,23826.0,23035.0,22673.0,22502.0,22521.0,22276.0,22156.0,22220.0,22483.0,21879,29207.0,29430.0,28930.0,27994.0,28011.0,27847.0,27194.0,27105.0,26745.0,25550.0,23929,,POINT (-73.86922899999999 40.73310599999989)
qn078,Woodside-61 St,7,1,36081,40.74563,-73.902984,5169510.0,5517813.0,5379712.0,5394103.0,5382589.0,5273308.0,5330760.0,5356621.0,5432682.0,5511564.0,5457171,16070.0,16746.0,16541.0,16680.0,16734.0,16698.0,16559.0,16807.0,17007.0,17236.0,16945,19820.0,22737.0,21365.0,21032.0,20841.0,20030.0,20432.0,19669.0,20127.0,20360.0,21067,,POINT (-73.90298399999999 40.74562999999988)
